[2017/03/02 00:00:13] fybit executed //copy at Location{world=CraftWorld{name=world},x=-359.2769981362292,y=5.038296540264108,z=212.56474018004602,pitch=34.649986,yaw=-169.1892}
[2017/03/02 00:07:12] fybit executed /gm 3 at Location{world=CraftWorld{name=world},x=-367.3637683128547,y=7.61830201484422,z=206.79106812454177,pitch=30.000015,yaw=193.81029}
[2017/03/02 00:07:39] fybit executed /gm 1 at Location{world=CraftWorld{name=world},x=-315.42112587220004,y=24.503889343798615,z=145.55007710449237,pitch=-2.699947,yaw=-48.88971}
[2017/03/02 00:08:17] fybit executed //copy at Location{world=CraftWorld{name=world},x=-284.4921814374312,y=22.0,z=159.49329522210198,pitch=25.200039,yaw=3.6102755}
[2017/03/02 00:08:35] fybit executed //flip at Location{world=CraftWorld{name=world},x=-284.70268166588573,y=22.0,z=112.51775882336158,pitch=-1.9499869,yaw=-176.38951}
[2017/03/02 00:08:39] fybit executed //paste at Location{world=CraftWorld{name=world},x=-284.70268166588573,y=22.0,z=112.51775882336158,pitch=-1.9499869,yaw=-176.38951}
[2017/03/02 00:08:53] fybit executed //paste at Location{world=CraftWorld{name=world},x=-339.445522764487,y=22.0,z=112.416923029043,pitch=11.849982,yaw=-183.73932}
[2017/03/02 00:12:32] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-277.1085271509138,y=22.0,z=117.7717567474149,pitch=29.849955,yaw=-103.789734}
[2017/03/02 00:12:43] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-369.0092475374104,y=28.984033134529202,z=116.48101559804158,pitch=-22.650038,yaw=-183.28943}
[2017/03/02 00:12:52] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-374.9788041911905,y=22.0,z=150.9251748722569,pitch=16.499947,yaw=-328.03955}
[2017/03/02 00:29:07] fybit executed //copy at Location{world=CraftWorld{name=world},x=-294.30436017971505,y=22.0,z=159.51856016707015,pitch=18.449986,yaw=6.143525}
[2017/03/02 00:29:17] fybit executed //paste at Location{world=CraftWorld{name=world},x=-284.4715029559596,y=22.0,z=159.2756463131158,pitch=1.3500055,yaw=2.2435377}
[2017/03/02 00:29:45] fybit executed //paste at Location{world=CraftWorld{name=world},x=-304.3610227995367,y=22.0,z=159.3876062144291,pitch=21.15005,yaw=4.0436234}
[2017/03/02 00:30:03] fybit executed //copy at Location{world=CraftWorld{name=world},x=-284.4091075769377,y=22.0,z=159.59245146038805,pitch=9.300001,yaw=-36.60641}
[2017/03/02 00:30:15] fybit executed //paste at Location{world=CraftWorld{name=world},x=-339.45096492166516,y=22.0,z=159.48775259378942,pitch=-3.1499848,yaw=2.2436213}
[2017/03/02 00:30:22] fybit executed //flip at Location{world=CraftWorld{name=world},x=-339.18346993088727,y=22.0,z=153.96257970908383,pitch=10.650014,yaw=145.64359}
[2017/03/02 00:30:38] fybit executed //flip at Location{world=CraftWorld{name=world},x=-339.18346993088727,y=22.0,z=153.96257970908383,pitch=10.650014,yaw=145.64359}
[2017/03/02 00:37:07] fybit executed //cut at Location{world=CraftWorld{name=world},x=-340.4541991860867,y=22.0,z=157.28647452583905,pitch=29.399788,yaw=329.6936}
[2017/03/02 00:37:32] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-314.4112609010406,y=22.259403677023194,z=156.48520073773588,pitch=26.24978,yaw=316.94318}
[2017/03/02 00:37:41] fybit executed //delete at Location{world=CraftWorld{name=world},x=-314.4112609010406,y=22.259403677023194,z=156.48520073773588,pitch=26.24978,yaw=316.94318}
[2017/03/02 00:37:47] fybit executed //cut at Location{world=CraftWorld{name=world},x=-314.4112609010406,y=22.259403677023194,z=156.48520073773588,pitch=26.24978,yaw=316.94318}
[2017/03/02 00:38:07] fybit executed /mrl list at Location{world=CraftWorld{name=world},x=-286.5725291120926,y=25.26616721323186,z=145.53695655506442,pitch=42.14978,yaw=30.592987}
[2017/03/02 00:38:14] fybit executed /mrl del goa at Location{world=CraftWorld{name=world},x=-293.8820922217589,y=25.26616721323186,z=145.80103905627735,pitch=42.14978,yaw=30.592987}
[2017/03/02 00:41:28] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-275.52866647966954,y=23.052402960467777,z=135.41355319826016,pitch=48.44985,yaw=351.89276}
[2017/03/02 00:41:32] fybit executed //cut at Location{world=CraftWorld{name=world},x=-275.5147333916181,y=23.052402960467777,z=135.41355319826016,pitch=48.44985,yaw=351.89276}
[2017/03/02 00:41:52] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-374.2611124098044,y=23.809132560534735,z=139.9701410576532,pitch=59.249855,yaw=146.09222}
[2017/03/02 00:42:23] fybit executed //cut at Location{world=CraftWorld{name=world},x=-374.2611124098044,y=23.809132560534735,z=139.9701410576532,pitch=59.249855,yaw=146.09222}
[2017/03/02 00:49:30] fybit executed //cut at Location{world=CraftWorld{name=world},x=-377.58436804228046,y=4.0,z=163.32465898152626,pitch=-10.200009,yaw=173.38208}
[2017/03/02 00:50:59] fybit executed //paste at Location{world=CraftWorld{name=world},x=-378.668673995441,y=4.0,z=163.25419693612986,pitch=4.3500066,yaw=178.48206}
[2017/03/02 00:52:47] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-335.74810478359876,y=29.412842162514078,z=111.74698384694645,pitch=-28.50003,yaw=242.23352}
[2017/03/02 00:53:01] fybit executed //cut at Location{world=CraftWorld{name=world},x=-333.7162395299565,y=22.0,z=161.42332872051972,pitch=34.049976,yaw=281.38464}
[2017/03/02 00:53:15] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-332.5438992934238,y=22.0,z=111.56231117181908,pitch=36.59996,yaw=213.13403}
[2017/03/02 00:53:28] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-331.55676257667835,y=26.98831355954252,z=160.6070687083796,pitch=51.899956,yaw=1.9342041}
[2017/03/02 00:53:38] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-332.3893996417634,y=22.882171345485276,z=159.19999998807907,pitch=34.799953,yaw=1.4841309}
[2017/03/02 00:55:10] fybit executed //cut at Location{world=CraftWorld{name=world},x=-339.5025930339457,y=22.0,z=156.422050688695,pitch=16.200006,yaw=179.6825}
[2017/03/02 00:55:25] fybit executed //paste at Location{world=CraftWorld{name=world},x=-338.4881223535756,y=22.0,z=156.3707559018806,pitch=11.250001,yaw=180.13196}
[2017/03/02 00:55:51] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-371.30000001192093,y=25.907601373521736,z=116.30000001192093,pitch=-3.1499686,yaw=268.4818}
[2017/03/02 01:05:55] fybit executed /nbti add at Location{world=CraftWorld{name=world},x=-282.1661516548869,y=23.01453804959618,z=154.32255151140845,pitch=30.000048,yaw=316.32373}
[2017/03/02 01:06:13] fybit executed /nbti mod add AttackDamage 0 100 at Location{world=CraftWorld{name=world},x=-282.1661516548869,y=23.01453804959618,z=154.32255151140845,pitch=30.000048,yaw=316.32373}
[2017/03/02 01:11:02] fybit executed /gm 3 at Location{world=CraftWorld{name=world},x=-308.0392322227003,y=27.38527570578349,z=141.92064128858996,pitch=-4.4997783,yaw=113.671875}
[2017/03/02 01:11:09] fybit executed /gm 1 at Location{world=CraftWorld{name=world},x=-285.19630771307715,y=41.26450768515391,z=114.64253405777356,pitch=27.600216,yaw=231.87122}
[2017/03/02 01:11:26] fybit executed /gm 3 at Location{world=CraftWorld{name=world},x=-373.7664384324556,y=28.158230988671992,z=165.24030367406374,pitch=20.55016,yaw=233.97437}
[2017/03/02 01:11:41] fybit executed /gm 1 at Location{world=CraftWorld{name=world},x=-334.5834972167018,y=25.168766195770573,z=138.94270023294257,pitch=-3.8998342,yaw=269.37305}
[2017/03/02 01:11:55] fybit executed //set 2 at Location{world=CraftWorld{name=world},x=-312.9510656501697,y=24.055303179324223,z=125.25379840463135,pitch=-26.84982,yaw=122.07532}
[2017/03/02 01:12:01] fybit executed //set 3 at Location{world=CraftWorld{name=world},x=-325.50837526153737,y=22.0,z=134.3856855422475,pitch=-12.149822,yaw=72.87573}
[2017/03/02 01:12:08] fybit executed //set 4 at Location{world=CraftWorld{name=world},x=-327.2529268307406,y=22.0,z=137.6895820545504,pitch=-12.149822,yaw=72.87573}
[2017/03/02 01:12:13] fybit executed //set 5 at Location{world=CraftWorld{name=world},x=-327.2529268307406,y=22.0,z=137.6895820545504,pitch=-12.149822,yaw=72.87573}
[2017/03/02 01:12:16] fybit executed //set 6 at Location{world=CraftWorld{name=world},x=-327.2529268307406,y=22.0,z=137.6895820545504,pitch=-12.149822,yaw=72.87573}
[2017/03/02 01:14:10] fybit executed //set 43:5 at Location{world=CraftWorld{name=world},x=-330.3561978047478,y=22.0,z=141.35221649200108,pitch=-17.39982,yaw=90.87598}
[2017/03/02 01:15:39] fybit executed //copy at Location{world=CraftWorld{name=world},x=-284.42205802156496,y=22.0,z=159.518625563706,pitch=55.950005,yaw=2.9768677}
[2017/03/02 01:15:51] fybit executed //paste at Location{world=CraftWorld{name=world},x=-340.5005542041179,y=22.0,z=159.47142701656674,pitch=11.100004,yaw=0.8772583}
[2017/03/02 01:18:00] fybit executed //set 100 at Location{world=CraftWorld{name=world},x=-315.15489514928805,y=26.372674440415075,z=117.89378386014013,pitch=62.85001,yaw=63.277405}
[2017/03/02 01:18:20] fybit executed //set 110 at Location{world=CraftWorld{name=world},x=-316.5439556295516,y=23.382542401521114,z=115.83809725963036,pitch=25.200005,yaw=358.47745}
[2017/03/02 01:18:59] fybit executed //set 35:1 at Location{world=CraftWorld{name=world},x=-316.5281484870501,y=23.382542401521114,z=144.60207239620766,pitch=23.399998,yaw=4.027405}
[2017/03/02 01:19:12] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-319.80184101927205,y=23.382542401521114,z=156.25708406053872,pitch=12.9,yaw=239.82747}
[2017/03/02 01:19:27] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-284.7694146739314,y=23.335552631031405,z=155.40766172789634,pitch=45.600002,yaw=248.97765}
[2017/03/02 01:19:36] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-282.92639598235166,y=23.335552631031405,z=119.61955413245772,pitch=50.10004,yaw=146.82738}
[2017/03/02 01:19:43] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-313.54111017916154,y=23.335552631031405,z=116.73770526373318,pitch=50.400043,yaw=71.97738}
[2017/03/02 01:20:04] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-338.52266111206876,y=23.350340878340255,z=117.06821082256515,pitch=78.60006,yaw=181.4775}
[2017/03/02 01:20:13] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-371.80428436086527,y=23.350340878340255,z=116.84876167519221,pitch=65.999985,yaw=-52.522476}
[2017/03/02 01:20:21] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-370.46945263926807,y=23.350340878340255,z=151.0311430515016,pitch=42.15001,yaw=0.577533}
[2017/03/02 01:20:28] fybit executed //set 35:4 at Location{world=CraftWorld{name=world},x=-340.2243893629978,y=23.350340878340255,z=153.81241422677274,pitch=61.05003,yaw=-69.77238}
[2017/03/02 01:28:22] fybit executed /rml at Location{world=CraftWorld{name=world},x=-314.19102059951473,y=23.7413690442708,z=122.20502595395959,pitch=43.649895,yaw=-165.92165}
[2017/03/02 01:28:25] fybit executed /mrl at Location{world=CraftWorld{name=world},x=-314.19102059951473,y=23.7413690442708,z=122.20502595395959,pitch=43.649895,yaw=-165.92165}
[2017/03/02 01:30:25] fybit executed /mrl erase goa at Location{world=CraftWorld{name=world},x=-312.4590780020447,y=23.7413690442708,z=123.42491540514911,pitch=43.649895,yaw=-165.92165}
[2017/03/02 01:31:05] fybit executed //cut at Location{world=CraftWorld{name=world},x=-314.69999998807907,y=5.0,z=153.30000001192093,pitch=48.599834,yaw=-114.17158}
[2017/03/02 01:31:54] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-341.1775374337421,y=24.090115913165018,z=159.07565403316363,pitch=85.49998,yaw=-144.92142}
[2017/03/02 01:31:58] fybit executed //cut at Location{world=CraftWorld{name=world},x=-342.7382460233786,y=24.090115913165018,z=158.76472042187834,pitch=50.69999,yaw=-166.82141}
[2017/03/02 01:32:20] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-283.90143208270143,y=22.221410367830938,z=157.9029344139672,pitch=25.949944,yaw=-150.02136}
[2017/03/02 01:32:27] fybit executed //cut at Location{world=CraftWorld{name=world},x=-283.90143208270143,y=22.221410367830938,z=157.9029344139672,pitch=25.949944,yaw=-150.02136}
[2017/03/02 01:33:06] fybit executed //cut at Location{world=CraftWorld{name=world},x=-312.4817385819568,y=22.0,z=116.62761896445993,pitch=89.85,yaw=4.028405}
[2017/03/02 01:33:18] fybit executed //paste at Location{world=CraftWorld{name=world},x=-311.40633369021776,y=22.0,z=116.54320995642449,pitch=37.649967,yaw=3.1283946}
[2017/03/02 01:33:41] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-316.69999998807907,y=24.48793005079547,z=120.87730669122854,pitch=43.34998,yaw=187.0283}
[2017/03/02 01:37:15] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-323.16944204301353,y=24.0810806530868,z=113.68452191966159,pitch=8.849941,yaw=194.07831}
[2017/03/02 01:38:10] fybit executed //relpace 1 5:1 at Location{world=CraftWorld{name=world},x=-297.69999998807907,y=30.501171281560435,z=119.69999998807907,pitch=36.450012,yaw=67.62809}
[2017/03/02 01:38:19] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-297.69999998807907,y=28.631399112839325,z=119.69999998807907,pitch=36.450012,yaw=67.47809}
[2017/03/02 01:38:40] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-377.066764796566,y=23.774943093878694,z=119.11911094518592,pitch=62.100048,yaw=160.92804}
[2017/03/02 01:39:06] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-370.0023146507209,y=23.800572763971786,z=112.6058197360633,pitch=56.700058,yaw=125.22829}
[2017/03/02 01:39:49] fybit executed /undo at Location{world=CraftWorld{name=world},x=-371.4559205136448,y=23.805368682582888,z=114.3023943969064,pitch=49.499985,yaw=-193.67128}
[2017/03/02 01:40:16] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-283.55049514058817,y=24.102855512863172,z=157.1017735877984,pitch=51.000008,yaw=-41.121735}
[2017/03/02 01:40:27] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-279.0868567901949,y=24.110860156747542,z=117.23898882023083,pitch=61.20003,yaw=-112.07123}
[2017/03/02 01:40:39] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-375.49839353037976,y=23.365323982099625,z=118.59178177165762,pitch=65.40007,yaw=-208.3711}
[2017/03/02 01:41:21] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-370.74809336984146,y=23.380327318584936,z=114.08630860746993,pitch=46.500053,yaw=-181.0716}
[2017/03/02 01:52:27] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-332.3390351397202,y=23.360017261640166,z=121.60647346537228,pitch=55.500214,yaw=132.72606}
[2017/03/02 01:52:38] fybit executed //cut at Location{world=CraftWorld{name=world},x=-332.2820922105502,y=23.360017261640166,z=121.64083295382365,pitch=55.500214,yaw=132.72606}
[2017/03/02 01:52:47] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-316.5080191085825,y=23.360017261640166,z=153.81320826381932,pitch=61.950233,yaw=328.62622}
[2017/03/02 01:53:02] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-314.5851806663139,y=23.744916342623124,z=120.18334858871404,pitch=60.750286,yaw=147.87636}
[2017/03/02 01:53:11] fybit executed //replace 1 5:1 at Location{world=CraftWorld{name=world},x=-315.47855651420423,y=23.000962930661075,z=153.1931953698432,pitch=88.650314,yaw=-0.17368655}
[2017/03/02 01:53:33] fybit executed //set 5:1 at Location{world=CraftWorld{name=world},x=-317.01443219699405,y=23.000962930661075,z=152.12210637613933,pitch=58.95003,yaw=247.02635}
[2017/03/02 01:55:59] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-282.53014771236946,y=24.518113319497914,z=152.4780346204027,pitch=58.200127,yaw=330.7279}
[2017/03/02 01:56:03] fybit executed //cut at Location{world=CraftWorld{name=world},x=-282.53014771236946,y=24.518113319497914,z=152.4780346204027,pitch=58.200127,yaw=330.7279}
[2017/03/02 01:56:45] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-284.29199196802176,y=23.202264957465616,z=136.1873296106689,pitch=38.10011,yaw=260.67816}
[2017/03/02 01:56:49] fybit executed //cut at Location{world=CraftWorld{name=world},x=-284.29199196802176,y=23.202264957465616,z=136.1873296106689,pitch=38.10011,yaw=260.67816}
[2017/03/02 02:01:30] fybit executed /skin zed_ at Location{world=CraftWorld{name=world},x=-286.90238029023294,y=25.955664101060034,z=121.83478959130969,pitch=11.399985,yaw=23.834534}
[2017/03/02 02:03:56] fybit executed //set 85 at Location{world=CraftWorld{name=world},x=-278.2575313096586,y=22.0,z=132.55541113761996,pitch=16.350048,yaw=291.88147}
[2017/03/02 02:04:17] fybit executed //set 85 at Location{world=CraftWorld{name=world},x=-277.70715335298615,y=30.493797861008563,z=140.13381000548455,pitch=-13.349958,yaw=229.33124}
[2017/03/02 02:04:27] fybit executed //set 85 at Location{world=CraftWorld{name=world},x=-280.13253845035837,y=29.738205984401354,z=150.5141828699124,pitch=-40.799934,yaw=220.18054}
[2017/03/02 02:11:08] fybit executed //set 2 at Location{world=CraftWorld{name=world},x=-332.2657356415604,y=27.89516229634057,z=131.7961904792684,pitch=-49.800022,yaw=156.87994}
[2017/03/02 11:23:36] fybit executed //copy at Location{world=CraftWorld{name=world},x=-276.30000001192093,y=22.0,z=117.40434516506588,pitch=4.6499987,yaw=275.22943}
[2017/03/02 11:24:27] fybit executed //flip at Location{world=CraftWorld{name=world},x=-376.48057844109104,y=22.0,z=154.54185146609672,pitch=89.24987,yaw=267.87842}
[2017/03/02 11:24:41] fybit executed //paste at Location{world=CraftWorld{name=world},x=-376.48057844109104,y=22.0,z=154.54185146609672,pitch=72.14995,yaw=265.9287}
[2017/03/02 11:25:04] fybit executed //undo at Location{world=CraftWorld{name=world},x=-376.4712952444791,y=24.12849569050851,z=146.50925587008354,pitch=42.749985,yaw=239.97821}
[2017/03/02 11:25:29] fybit executed //copy at Location{world=CraftWorld{name=world},x=-276.30000001192093,y=22.0,z=153.54836178806082,pitch=29.850008,yaw=271.6283}
[2017/03/02 11:26:08] fybit executed //copy at Location{world=CraftWorld{name=world},x=-276.4298454834771,y=22.0,z=153.50229145135793,pitch=50.550007,yaw=268.3261}
[2017/03/02 11:26:46] fybit executed //paste at Location{world=CraftWorld{name=world},x=-378.79677809497565,y=22.0,z=153.30000001192093,pitch=53.39999,yaw=276.87622}
[2017/03/02 11:27:09] fybit executed //set 159:5 at Location{world=CraftWorld{name=world},x=-372.90722927522233,y=23.378062066564556,z=118.079711429468,pitch=41.550003,yaw=96.42566}
[2017/03/02 12:26:41] chicken executed /tp fybit at Location{world=CraftWorld{name=world},x=-71.2285793315959,y=43.0,z=186.9293138051073,pitch=44.7,yaw=5.9604646E-9}
[2017/03/02 12:26:48] fybit executed /op chicken at Location{world=CraftWorld{name=world},x=-333.6288640658388,y=22.0,z=128.52703065026162,pitch=-58.500027,yaw=3.118164}
[2017/03/02 12:26:53] chicken executed /tp fybit at Location{world=CraftWorld{name=world},x=-73.98971704316233,y=46.875,z=179.22939921828848,pitch=43.79999,yaw=62.699936}
[2017/03/02 12:26:58] chicken executed /gm 1 at Location{world=CraftWorld{name=world},x=-338.64743273471095,y=22.0,z=133.88915444374342,pitch=2.5499437,yaw=322.31714}
[2017/03/02 12:36:54] fybit executed //cut at Location{world=CraftWorld{name=world},x=-333.71068491645275,y=28.248539737989137,z=130.99982891543084,pitch=-55.800003,yaw=251.05688}
[2017/03/02 12:41:31] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-318.48418483441844,y=28.584810291198593,z=130.14170657162992,pitch=-36.74998,yaw=296.65747}
[2017/03/02 12:41:39] fybit executed //cut at Location{world=CraftWorld{name=world},x=-316.53151135470915,y=28.584810291198593,z=134.73080282071717,pitch=-39.599983,yaw=94.75781}
[2017/03/02 12:41:44] fybit executed //cut at Location{world=CraftWorld{name=world},x=-312.013083866133,y=28.584810291198593,z=133.03703736957684,pitch=-30.299976,yaw=278.65674}
[2017/03/02 12:42:07] fybit executed //cet 1 at Location{world=CraftWorld{name=world},x=-367.8125301543593,y=29.717303244203457,z=141.23012921618104,pitch=-19.04994,yaw=220.0083}
[2017/03/02 12:42:12] fybit executed //set 1 at Location{world=CraftWorld{name=world},x=-367.8125301543593,y=29.717303244203457,z=141.23012921618104,pitch=-13.799942,yaw=180.25854}
[2017/03/02 12:42:20] fybit executed //cuty at Location{world=CraftWorld{name=world},x=-367.7737582959423,y=28.973349832241407,z=136.86590116864275,pitch=-26.84994,yaw=275.35986}
[2017/03/02 12:42:22] fybit executed //cut at Location{world=CraftWorld{name=world},x=-367.7706618028379,y=28.973349832241407,z=136.86590116864275,pitch=-26.84994,yaw=275.35986}
[2017/03/02 12:42:28] fybit executed //cut at Location{world=CraftWorld{name=world},x=-374.5275003877988,y=28.973349832241407,z=136.37647611516414,pitch=-33.149944,yaw=53.809814}
[2017/03/02 13:12:57] chicken executed /gm 3 at Location{world=CraftWorld{name=world},x=-370.2477907051164,y=27.075423023142697,z=116.98667508581501,pitch=-8.100028,yaw=-265.5396}
[2017/03/02 13:13:00] chicken executed /gm 1 at Location{world=CraftWorld{name=world},x=-372.9741915624353,y=38.694754781605354,z=113.53336123474406,pitch=49.19997,yaw=-191.73962}
[2017/03/02 13:13:20] chicken executed //cut at Location{world=CraftWorld{name=world},x=-266.0907445248719,y=34.202757292644534,z=164.12425510370517,pitch=44.54998,yaw=-211.99011}
[2017/03/02 13:13:26] chicken executed /time set day at Location{world=CraftWorld{name=world},x=-275.10595470502886,y=34.202757292644534,z=162.28260536168176,pitch=34.499985,yaw=-238.2398}
[2017/03/02 13:14:06] chicken executed //cut at Location{world=CraftWorld{name=world},x=-310.5333656400786,y=33.34594974843969,z=112.31824963244566,pitch=39.449955,yaw=-80.590576}
[2017/03/02 13:14:16] chicken executed //cut at Location{world=CraftWorld{name=world},x=-294.39491828514906,y=28.10717787168424,z=157.77786801118773,pitch=-31.05002,yaw=-97.99103}
[2017/03/02 13:14:23] chicken executed //cut at Location{world=CraftWorld{name=world},x=-295.9452460679158,y=29.97695004040535,z=113.73478235368549,pitch=46.649963,yaw=-94.39075}
[2017/03/02 13:14:34] chicken executed //cut at Location{world=CraftWorld{name=world},x=-301.9877366030412,y=25.47245649552022,z=157.5709286598486,pitch=-61.500065,yaw=-260.2904}
[2017/03/02 13:14:45] chicken executed //cut at Location{world=CraftWorld{name=world},x=-290.94033233379554,y=29.96721677444225,z=112.30000001192093,pitch=30.149927,yaw=-280.0905}
[2017/03/02 13:14:55] chicken executed //cut at Location{world=CraftWorld{name=world},x=-292.62086240473826,y=28.8496238365931,z=158.97429354908834,pitch=1.4999295,yaw=-189.04034}
[2017/03/02 13:15:09] chicken executed //cut at Location{world=CraftWorld{name=world},x=-305.73323270188894,y=27.73696896998017,z=113.41536255761623,pitch=-14.250069,yaw=-109.69049}
[2017/03/02 13:15:36] chicken executed /up 1 at Location{world=CraftWorld{name=world},x=-326.45027158021514,y=35.097660047948025,z=159.47767706011217,pitch=83.24998,yaw=-3.1897583}
